1219-231.11,Bømlo kommune. Rubbestadneset ungdomsskule,Ha,Q7-49-5-1,Q7-49-5-1
1219-231.11,Bømlo kommune. Rubbestadneset ungdomsskule,Hba,Q7-50-1-3,Q7-50-1-4
1219-231.11,Bømlo kommune. Rubbestadneset ungdomsskule,Hc,Q7-50-1-4,Q7-50-1-5
1219-231.11,Bømlo kommune. Rubbestadneset ungdomsskule,Hd,Q7-50-1-6,Q7-50-2-3
1219-231.14,Bømlo kommune. Våge skule,Ha,Q7-49-5-1,Q7-49-5-1
1219-231.14,Bømlo kommune. Våge skule,Hb,IKKJE FUNNET,
1219-231.14,Bømlo kommune. Våge skule,Hc,IKKJE FUNNET,
1219-231.15,Bømlo kommune. Foldrøy skule,Ha,IKKJE FUNNET,
1219-231.19,Bømlo kommune. Svortland skule,Ha,Q7-49-5-1,Q7-49-5-2
1219-241,Bømlo kommune. Bømlo PPT,Fa,Q7-49-5-2,Q7-49-5-3
1219-241,Bømlo kommune. Bømlo PPT,Fb,Q7-49-5-3,Q7-49-5-3
1219-241,Bømlo kommune. Bømlo PPT eskenr. 1-28,Fc,Q7-49-5-4,Q7-49-5-6
1219-241,Bømlo kommune. Bømlo PPT eskenr. 29-35,Fc,Q7-49-6-1,Q7-49-6-2
1219-241,Bømlo kommune. Bømlo PPT,Fd,Q7-50-1-5,Q7-50-1-6
1219-241,Bømlo kommune. Bømlo PPT,Fe,Q7-48-4-2,Q-48-4-5
1219-241,Bømlo kommune. Bømlo PPT,Ff,Q7-48-4-5,Q7-48-5-1
1219-241,Bømlo kommune. Bømlo PPT,Fg,Q7-48-5-1,Q7-48-5-3
1219-242,Bømlo kommune. Barnehagane i Bømlo,Fa,Q7-49-6-2,Q7-49-6-2
1219-242.01,Bømlo kommune. Maurtua barnehage,Fa,Q7-49-5-6,Q7-49-5-6
1219-242.01,Bømlo kommune. Maurtua barnehage,Fb,Q7-49-6-2,Q7-49-6-2
1219-242.01,Bømlo kommune. Maurtua barnehage,Fc,Q7-52-2-3,Q7-52-2-3
1219-315.1,Bømlo kommune. Barnevernet,Fa,Q7-50-3-2,Q7-50-3-2
1219-315.1,Bømlo kommune. Barnevernet,Fb,Q7-50-3-2,Q7-50-3-5
1221-201,Stord kommune. Skulekontoret,Ha,W10-26-1-5,W10-26-1-5
1221-201,Stord kommune. Skulekontoret,Hb,IKKJE FUNNET,
1221-201,Stord kommune. Skulekontoret,Hc,W10-26-1-5,W10-26-1-5
1221-201,Stord kommune. Skulekontoret,Hd,W10-26-1-5,W10-26-1-5
1221-201,Stord kommune. Skulekontoret,He,W10-26-1-5,W10-26-1-6
1221-231.02,Stord kommune. Langeland skule,Ha,IKKJE FUNNET,
1221-231.06,Stord kommune. Nysæter ungdomsskule,Ha,W10-26-1-8,W10--26-1-8
1221-231.06,Stord kommune. Nysæter ungdomsskule,Hb,W10-26-1-8,W10-26-1-8
1221-231.06,Stord kommune. Nysæter ungdomsskule,Hc,W10-26-2-1,W10-26-2-2
1221-231.06,Stord kommune. Nysæter ungdomsskule,Hd,W10-26-2-2,W10-26-2-3
1221-231.06,Stord kommune. Nysæter ungdomsskule,He,IKKJE FUNNET,
1221-231.06,Stord kommune. Nysæter ungdomsskule,Hf,IKKJE FUNNET,
1221-231.06,Stord kommune. Nysæter ungdomsskule,Hg,IKKJE FUNNET,
1221-231.09,Stord kommune. Stord ungdomsskule,Ha,W10-26-2-4,W10-26-2-4
